id,Name,ForSale,MLS,Builder, Price ,Acres,SqFt,CCR,ContactName,ContactEmail,ContactPhone,Images
15,B-1,lot,,<p>Bring Your Own Builder</p>," $199,000 ",2.79 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/b1.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
16,B-2,lot,,<p>Bring Your Own Builder</p>," $107,000 ",1.05 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/b2.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
17,B-3,lot,,<p>Bring Your Own Builder</p>," $107,000 ",1.05 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/b3.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
18,B-9,lot,,<p>Bring Your Own Builder</p>," $109,000 ",1.03 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/b9.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
19,B-19,lot,,<p>Bring Your Own Builder</p>," $115,000 ",1.09 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/b19.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
20,B-20,lot,,<p>Bring Your Own Builder</p>," $111,000 ",1.02 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/b20.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
21,B-21,lot,,<p>Bring Your Own Builder</p>," $113,000 ",1.06 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/b21.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
22,B-22,lot,,<p>Bring Your Own Builder</p>," $102,000 ",1.00 acre,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/b22.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
23,B-23,lot,,<p>Bring Your Own Builder</p>," $102,000 ",1.00 acre,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/b23.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
1,A-1,lot,,<p>Bring Your Own Builder</p>," $105,000 ",1.00 acre,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/a1.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
2,A-2,home,https://matrix.ntreis.net/matrix/shared/26p9ZTjZW3/3845FM3364,<img src='/assets/images/logos/copehomes.png'>," $349,900 ",1.00 acre,2151 Square Feet,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/images/ca5/jeffersoniso.jpg','/assets/images/ca5/jeffersonfirst.png','/assets/images/ca5/jeffersonsecond.png','/assets/blacklines/ca5/a2.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
3,A-3,lot,,<p>Bring Your Own Builder</p>," $100,000 ",1.00 acre,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/a3.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
4,A-4,lot,,<p>Bring Your Own Builder</p>," $109,000 ",1.36 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/a4.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
5,A-5,lot,,<p>Bring Your Own Builder</p>," $114,000 ",1.15 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/a5.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
6,A-6,lot,,<p>Bring Your Own Builder</p>," $99,000 ",1.16 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/a6.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
7,A-7,lot,https://matrix.ntreis.net/matrix/shared/mvz3C9dYW3/Lot7AFM3364,<p>Bring Your Own Builder</p>," $100,000 ",1.13 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/a7.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
8,A-8,lot,,<p>Bring Your Own Builder</p>," $102,000 ",1.15 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/a8.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
9,A-9,lot,,<p>Bring Your Own Builder</p>," $109,000 ",1.15 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/a9.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
10,A-10,lot,,<p>Bring Your Own Builder</p>," $106,000 ",1.44 acres,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/a10.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
11,A-11,lot,,<p>Bring Your Own Builder</p>," $124,000 ",1.00 acre,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/a11.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
12,A-12,home,,<img src='/assets/images/logos/copehomes.png'>," $349,900 ",1.00 acre,2151 Square Feet,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/images/ca5/jeffersoniso.jpg','/assets/images/ca5/jeffersonfirst.png','/assets/images/ca5/jeffersonsecond.png','/assets/blacklines/ca5/a12.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
13,A-13,lot,,<p>Bring Your Own Builder</p>," $104,000 ",1.00 acre,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/b13.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
14,A-14,lot,,<p>Bring Your Own Builder</p>," $102,000 ",1.00 acre,,/assets/covenant-and-deed-restrictions.pdf,Mark Cope,sales@copedfw.com,2145925642,"['/assets/blacklines/ca5/b14.jpg','/assets/blacklines/ca5/Final blackline.jpg','/assets/images/ca5/aerial1.JPG','/assets/images/aerial2.JPG']"
